2020-07-26 - 06:14:45 INFO: The connection has been established
2020-07-26 - 06:14:45 INFO: ...waiting messages, press CTRL+C to exit
2020-07-26 - 06:14:45 INFO: From queue y_pred got 67.80396009961734
2020-07-26 - 06:14:45 INFO: From queue y_true got 55.0
2020-07-26 - 06:14:47 INFO: From queue y_true got 178.0
2020-07-26 - 06:14:47 INFO: From queue y_pred got 172.95250161826655
2020-07-26 - 06:14:50 INFO: From queue y_true got 145.0
2020-07-26 - 06:14:50 INFO: From queue y_pred got 138.41261647344245
2020-07-26 - 06:14:53 INFO: From queue y_true got 71.0
2020-07-26 - 06:14:53 INFO: From queue y_pred got 100.58415096976327
2020-07-26 - 06:14:56 INFO: From queue y_true got 47.0
2020-07-26 - 06:14:56 INFO: From queue y_pred got 73.64993315717716
2020-07-26 - 06:14:59 INFO: From queue y_pred got 257.59202959227594
2020-07-26 - 06:14:59 INFO: From queue y_true got 268.0
2020-07-26 - 06:15:02 INFO: From queue y_true got 151.0
2020-07-26 - 06:15:02 INFO: From queue y_pred got 218.64501231197903
2020-07-26 - 06:15:05 INFO: From queue y_true got 49.0
2020-07-26 - 06:15:05 INFO: From queue y_pred got 83.85559876022388
2020-07-26 - 06:15:08 INFO: From queue y_true got 131.0
2020-07-26 - 06:15:08 INFO: From queue y_pred got 167.25704484429696
2020-07-26 - 06:15:11 INFO: From queue y_true got 292.0
2020-07-26 - 06:15:11 INFO: From queue y_pred got 178.08089294293657
2020-07-26 - 06:15:14 INFO: From queue y_true got 95.0
2020-07-26 - 06:15:14 INFO: From queue y_pred got 123.50486631653769
2020-07-26 - 06:15:17 INFO: From queue y_true got 101.0
2020-07-26 - 06:15:17 INFO: From queue y_pred got 144.91281858193454
2020-07-26 - 06:15:20 INFO: From queue y_true got 253.0
2020-07-26 - 06:15:20 INFO: From queue y_pred got 149.43443137561522
2020-07-26 - 06:15:23 INFO: From queue y_true got 259.0
2020-07-26 - 06:15:23 INFO: From queue y_pred got 251.67264952935122
2020-07-26 - 06:15:26 INFO: From queue y_true got 281.0
2020-07-26 - 06:15:26 INFO: From queue y_pred got 259.93629195342004
2020-07-26 - 06:15:29 INFO: From queue y_true got 181.0
2020-07-26 - 06:15:29 INFO: From queue y_pred got 170.04444496516433
2020-07-26 - 06:15:32 INFO: From queue y_true got 113.0
2020-07-26 - 06:15:32 INFO: From queue y_pred got 94.24314643978208
2020-07-26 - 06:15:35 INFO: From queue y_true got 115.0
2020-07-26 - 06:15:35 INFO: From queue y_pred got 96.83324185541144
2020-07-26 - 06:15:38 INFO: From queue y_true got 332.0
2020-07-26 - 06:15:38 INFO: From queue y_pred got 285.2161959004485
2020-07-26 - 06:15:41 INFO: From queue y_pred got 119.0400098643511
2020-07-26 - 06:15:41 INFO: From queue y_true got 113.0
2020-07-26 - 06:15:44 INFO: From queue y_true got 59.0
2020-07-26 - 06:15:44 INFO: From queue y_pred got 79.96621445973452
2020-07-26 - 06:15:47 INFO: From queue y_true got 172.0
2020-07-26 - 06:15:47 INFO: From queue y_pred got 179.184802831649
2020-07-26 - 06:15:50 INFO: From queue y_true got 71.0
2020-07-26 - 06:15:50 INFO: From queue y_pred got 100.58415096976327
2020-07-26 - 06:15:53 INFO: From queue y_true got 311.0
2020-07-26 - 06:15:53 INFO: From queue y_pred got 224.62945859985794
2020-07-26 - 06:15:56 INFO: From queue y_true got 212.0
2020-07-26 - 06:15:56 INFO: From queue y_pred got 188.28567344799808
2020-07-26 - 06:15:59 INFO: From queue y_true got 263.0
2020-07-26 - 06:15:59 INFO: From queue y_pred got 169.75614144383061
2020-07-26 - 06:16:02 INFO: From queue y_true got 235.0
2020-07-26 - 06:16:02 INFO: From queue y_pred got 186.79813886602915
2020-07-26 - 06:16:05 INFO: From queue y_true got 75.0
2020-07-26 - 06:16:05 INFO: From queue y_pred got 76.5199631108834
2020-07-26 - 06:16:08 INFO: From queue y_true got 163.0
2020-07-26 - 06:16:08 INFO: From queue y_pred got 160.99360831308016
2020-07-26 - 06:16:11 INFO: From queue y_true got 107.0
2020-07-26 - 06:16:11 INFO: From queue y_pred got 104.46855808828428
2020-07-26 - 06:16:14 INFO: From queue y_true got 101.0
2020-07-26 - 06:16:14 INFO: From queue y_pred got 144.91281858193454
2020-07-26 - 06:16:17 INFO: From queue y_true got 59.0
2020-07-26 - 06:16:17 INFO: From queue y_pred got 79.96621445973452
2020-07-26 - 06:16:20 INFO: From queue y_true got 91.0
2020-07-26 - 06:16:20 INFO: From queue y_pred got 120.10625240082743
2020-07-26 - 06:16:23 INFO: From queue y_true got 144.0
2020-07-26 - 06:16:23 INFO: From queue y_pred got 114.17777916122536
2020-07-26 - 06:16:26 INFO: From queue y_true got 44.0
2020-07-26 - 06:16:26 INFO: From queue y_pred got 100.5114827494233
2020-07-26 - 06:16:29 INFO: From queue y_true got 108.0
2020-07-26 - 06:16:29 INFO: From queue y_pred got 94.9290432175442
2020-07-26 - 06:16:32 INFO: From queue y_true got 276.0
